elem,heap,n,workload,ops,repeat,nanos,push_comparisons,pop_comparisons,branch_misses,l1_cache_misses,hw_cache_misses,l3_cache_misses
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",2048,bench::workloads::RandomWiggle,6144,2,146862.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",4096,bench::workloads::HeapSort,4096,0,90747.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",4096,bench::workloads::HeapSort,4096,1,83326.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",4096,bench::workloads::HeapSort,4096,2,83387.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",4096,bench::workloads::MonotoneConstantSize,40960,0,932090.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",4096,bench::workloads::MonotoneConstantSize,40960,1,903186.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",4096,bench::workloads::MonotoneConstantSize,40960,2,919611.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",4096,bench::workloads::MonotoneWiggle,12288,0,275096.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",4096,bench::workloads::MonotoneWiggle,12288,1,278211.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",4096,bench::workloads::MonotoneWiggle,12288,2,277289.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",4096,bench::workloads::RandomWiggle,12288,0,299112.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",4096,bench::workloads::RandomWiggle,12288,1,292302.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",4096,bench::workloads::RandomWiggle,12288,2,302338.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",8192,bench::workloads::HeapSort,8192,0,169136.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",8192,bench::workloads::HeapSort,8192,1,169486.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",8192,bench::workloads::HeapSort,8192,2,168054.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",8192,bench::workloads::MonotoneConstantSize,81920,0,1885591.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",8192,bench::workloads::MonotoneConstantSize,81920,1,1858461.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",8192,bench::workloads::MonotoneConstantSize,81920,2,1848706.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",8192,bench::workloads::MonotoneWiggle,24576,0,561490.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",8192,bench::workloads::MonotoneWiggle,24576,1,569632.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",8192,bench::workloads::MonotoneWiggle,24576,2,553287.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",8192,bench::workloads::RandomWiggle,24576,0,599426.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",8192,bench::workloads::RandomWiggle,24576,1,600609.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",8192,bench::workloads::RandomWiggle,24576,2,600138.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",16384,bench::workloads::HeapSort,16384,0,343049.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",16384,bench::workloads::HeapSort,16384,1,337190.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",16384,bench::workloads::HeapSort,16384,2,347576.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",16384,bench::workloads::MonotoneConstantSize,163840,0,3843273.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",16384,bench::workloads::MonotoneConstantSize,163840,1,3813988.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",16384,bench::workloads::MonotoneConstantSize,163840,2,3763371.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",16384,bench::workloads::MonotoneWiggle,49152,0,1153033.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",16384,bench::workloads::MonotoneWiggle,49152,1,1146053.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",16384,bench::workloads::MonotoneWiggle,49152,2,1161797.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"quickheap::ConfigurableSimdQuickHeap<i32, quickheap::simd::Avx2, quickheap::pivot_strategies::RandomPivot>",16384,bench::workloads::RandomWiggle,49152,0,1215558.0,0.0,0.0,0.0,0.0,0.0,0.0
