elem,heap,n,workload,ops,repeat,nanos,push_comparisons,pop_comparisons,branch_misses,l1_cache_misses,hw_cache_misses,hw_cache_references,l3_cache_misses
i64,"bench::scalar_quickheap::ScalarQuickHeap<i64, 3, false, bench::scalar_quickheap::Search::LinearScan>",1024,bench::workloads::MonotoneConstantSize,10240,1,1774374.0,0.0,0.0,0.0,0.0,1018.0,26976.0,0.0
i64,"bench::scalar_quickheap::ScalarQuickHeap<i64, 3, false, bench::scalar_quickheap::Search::LinearScan>",1024,bench::workloads::MonotoneConstantSize,10240,2,1771460.0,0.0,0.0,0.0,0.0,351.0,26305.0,0.0
i64,"bench::scalar_quickheap::ScalarQuickHeap<i64, 3, false, bench::scalar_quickheap::Search::LinearScan>",32768,bench::workloads::MonotoneConstantSize,327680,0,63987079.0,0.0,0.0,0.0,0.0,67285.0,2812704.0,0.0
i64,"bench::scalar_quickheap::ScalarQuickHeap<i64, 3, false, bench::scalar_quickheap::Search::LinearScan>",32768,bench::workloads::MonotoneConstantSize,327680,1,63807166.0,0.0,0.0,0.0,0.0,62450.0,2713426.0,0.0
i64,"bench::scalar_quickheap::ScalarQuickHeap<i64, 3, false, bench::scalar_quickheap::Search::LinearScan>",32768,bench::workloads::MonotoneConstantSize,327680,2,63721667.0,0.0,0.0,0.0,0.0,65513.0,2820682.0,0.0
i64,"bench::scalar_quickheap::ScalarQuickHeap<i64, 3, false, bench::scalar_quickheap::Search::LinearScan>",1048576,bench::workloads::MonotoneConstantSize,10485760,0,2258317943.0,0.0,0.0,0.0,0.0,2814504.0,162415925.0,0.0
i64,"bench::scalar_quickheap::ScalarQuickHeap<i64, 3, false, bench::scalar_quickheap::Search::LinearScan>",1048576,bench::workloads::MonotoneConstantSize,10485760,1,2268592682.0,0.0,0.0,0.0,0.0,2684624.0,168599127.0,0.0
i64,"bench::scalar_quickheap::ScalarQuickHeap<i64, 3, false, bench::scalar_quickheap::Search::LinearScan>",1048576,bench::workloads::MonotoneConstantSize,10485760,2,2254845030.0,0.0,0.0,0.0,0.0,2656354.0,170500662.0,0.0
i64,"bench::scalar_quickheap::ScalarQuickHeap<i64, 3, false, bench::scalar_quickheap::Search::LinearScan>",33554432,bench::workloads::MonotoneConstantSize,335544320,0,80908303862.0,0.0,0.0,0.0,0.0,214333881.0,8053981264.0,0.0
i64,"bench::scalar_quickheap::ScalarQuickHeap<i64, 3, false, bench::scalar_quickheap::Search::LinearScan>",33554432,bench::workloads::MonotoneConstantSize,335544320,1,81335628618.0,0.0,0.0,0.0,0.0,215346112.0,8176563995.0,0.0
i64,"bench::scalar_quickheap::ScalarQuickHeap<i64, 3, false, bench::scalar_quickheap::Search::LinearScan>",33554432,bench::workloads::MonotoneConstantSize,335544320,2,81293517572.0,0.0,0.0,0.0,0.0,221861619.0,8197252282.0,0.0
i64,bench::sequence_heap::SequenceHeapI64,1024,bench::workloads::MonotoneConstantSize,10240,0,426957.0,0.0,0.0,0.0,0.0,982.0,13314.0,0.0
i64,bench::sequence_heap::SequenceHeapI64,1024,bench::workloads::MonotoneConstantSize,10240,1,424404.0,0.0,0.0,0.0,0.0,68.0,11432.0,0.0
i64,bench::sequence_heap::SequenceHeapI64,1024,bench::workloads::MonotoneConstantSize,10240,2,427087.0,0.0,0.0,0.0,0.0,236.0,12688.0,0.0
i64,bench::sequence_heap::SequenceHeapI64,32768,bench::workloads::MonotoneConstantSize,327680,0,21829502.0,0.0,0.0,0.0,0.0,48775.0,1192477.0,0.0
i64,bench::sequence_heap::SequenceHeapI64,32768,bench::workloads::MonotoneConstantSize,327680,1,21448505.0,0.0,0.0,0.0,0.0,34207.0,1242182.0,0.0
i64,bench::sequence_heap::SequenceHeapI64,32768,bench::workloads::MonotoneConstantSize,327680,2,21441143.0,0.0,0.0,0.0,0.0,32555.0,1207685.0,0.0
i64,bench::sequence_heap::SequenceHeapI64,1048576,bench::workloads::MonotoneConstantSize,10485760,0,968453668.0,0.0,0.0,0.0,0.0,2910239.0,46952244.0,0.0
