heap,graph,workload,vertices,edges,repeat,nanos
"quickheap::simd_quickheap::SimdQuickHeap<u64, quickheap::simd::Avx2, quickheap::pivot_strategies::MedianOfM<3>, 16, true>",input/rhg_20_graph.gr,bench_graph::DijkstraWorkload,1048576,10306351,0,115840149.0
"quickheap::simd_quickheap::SimdQuickHeap<u64, quickheap::simd::Avx2, quickheap::pivot_strategies::MedianOfM<3>, 16, true>",input/rhg_20_graph.gr,bench_graph::DijkstraWorkload,1048576,10306351,1,117420815.0
"quickheap::simd_quickheap::SimdQuickHeap<u64, quickheap::simd::Avx2, quickheap::pivot_strategies::MedianOfM<3>, 16, true>",input/rhg_20_graph.gr,bench_graph::DijkstraWorkload,1048576,10306351,2,115949735.0
"quickheap::simd_quickheap::SimdQuickHeap<u64, quickheap::simd::Avx2, quickheap::pivot_strategies::MedianOfM<3>, 16, true>",input/rhg_20_graph.gr,bench_graph::PrimWorkload,1048576,10306351,0,355448035.0
"quickheap::simd_quickheap::SimdQuickHeap<u64, quickheap::simd::Avx2, quickheap::pivot_strategies::MedianOfM<3>, 16, true>",input/rhg_20_graph.gr,bench_graph::PrimWorkload,1048576,10306351,1,355627467.0
"quickheap::simd_quickheap::SimdQuickHeap<u64, quickheap::simd::Avx2, quickheap::pivot_strategies::MedianOfM<3>, 16, true>",input/rhg_20_graph.gr,bench_graph::PrimWorkload,1048576,10306351,2,357405233.0
"quickheap::simd_quickheap::SimdQuickHeap<u64, quickheap::simd::Avx2, quickheap::pivot_strategies::MedianOfM<3>, 16, true>",input/CAL_graph.gr,bench_graph::DijkstraWorkload,1890815,4657742,0,187406663.0
"quickheap::simd_quickheap::SimdQuickHeap<u64, quickheap::simd::Avx2, quickheap::pivot_strategies::MedianOfM<3>, 16, true>",input/CAL_graph.gr,bench_graph::DijkstraWorkload,1890815,4657742,1,186886794.0
"quickheap::simd_quickheap::SimdQuickHeap<u64, quickheap::simd::Avx2, quickheap::pivot_strategies::MedianOfM<3>, 16, true>",input/CAL_graph.gr,bench_graph::DijkstraWorkload,1890815,4657742,2,187230185.0
"quickheap::simd_quickheap::SimdQuickHeap<u64, quickheap::simd::Avx2, quickheap::pivot_strategies::MedianOfM<3>, 16, true>",input/CAL_graph.gr,bench_graph::PrimWorkload,1890815,4657742,0,220088873.0
"quickheap::simd_quickheap::SimdQuickHeap<u64, quickheap::simd::Avx2, quickheap::pivot_strategies::MedianOfM<3>, 16, true>",input/CAL_graph.gr,bench_graph::PrimWorkload,1890815,4657742,1,218594718.0
"quickheap::simd_quickheap::SimdQuickHeap<u64, quickheap::simd::Avx2, quickheap::pivot_strategies::MedianOfM<3>, 16, true>",input/CAL_graph.gr,bench_graph::PrimWorkload,1890815,4657742,2,218465182.0
"quickheap::simd_quickheap::SimdQuickHeap<u64, quickheap::simd::Avx2, quickheap::pivot_strategies::MedianOfM<3>, 16, true>",input/USA_graph.gr,bench_graph::DijkstraWorkload,23947347,58333344,0,2578850469.0
"quickheap::simd_quickheap::SimdQuickHeap<u64, quickheap::simd::Avx2, quickheap::pivot_strategies::MedianOfM<3>, 16, true>",input/USA_graph.gr,bench_graph::DijkstraWorkload,23947347,58333344,1,2579081493.0
"quickheap::simd_quickheap::SimdQuickHeap<u64, quickheap::simd::Avx2, quickheap::pivot_strategies::MedianOfM<3>, 16, true>",input/USA_graph.gr,bench_graph::DijkstraWorkload,23947347,58333344,2,2572729649.0
"quickheap::simd_quickheap::SimdQuickHeap<u64, quickheap::simd::Avx2, quickheap::pivot_strategies::MedianOfM<3>, 16, true>",input/USA_graph.gr,bench_graph::PrimWorkload,23947347,58333344,0,3161761134.0
"quickheap::simd_quickheap::SimdQuickHeap<u64, quickheap::simd::Avx2, quickheap::pivot_strategies::MedianOfM<3>, 16, true>",input/USA_graph.gr,bench_graph::PrimWorkload,23947347,58333344,1,3164110375.0
"quickheap::simd_quickheap::SimdQuickHeap<u64, quickheap::simd::Avx2, quickheap::pivot_strategies::MedianOfM<3>, 16, true>",input/USA_graph.gr,bench_graph::PrimWorkload,23947347,58333344,2,3171845583.0
"quickheap::simd_quickheap::SimdQuickHeap<u64, quickheap::simd::Avx512<true>, quickheap::pivot_strategies::MedianOfM<3>, 16, true>",input/rhg_22_graph.gr,bench_graph::DijkstraWorkload,4194304,41312060,0,562401049.0
"quickheap::simd_quickheap::SimdQuickHeap<u64, quickheap::simd::Avx512<true>, quickheap::pivot_strategies::MedianOfM<3>, 16, true>",input/rhg_22_graph.gr,bench_graph::DijkstraWorkload,4194304,41312060,1,554825393.0
