elem,heap,n,workload,ops,repeat,nanos,push_comparisons,pop_comparisons,branch_misses,l1_cache_misses,hw_cache_misses,l3_cache_misses
i64,"bench::scalar_quickheap::ScalarQuickHeap<i64, 1, true, bench::scalar_quickheap::Search::BinarySearch>",33554432,bench::workloads::RandomWiggle,0,0,0.0,639689841.0,1112522750.0,0.0,0.0,0.0,0.0
i64,bench::sequence_heap::SequenceHeapI64,33554432,bench::workloads::HeapSort,0,0,0.0,836716435.0,211634889.0,0.0,0.0,0.0,0.0
i64,bench::sequence_heap::SequenceHeapI64,33554432,bench::workloads::MonotoneConstantSize,0,0,0.0,8687842241.0,2711785792.0,0.0,0.0,0.0,0.0
i64,bench::sequence_heap::SequenceHeapI64,33554432,bench::workloads::MonotoneWiggle,0,0,0.0,2555394922.0,666317947.0,0.0,0.0,0.0,0.0
i64,bench::sequence_heap::SequenceHeapI64,33554432,bench::workloads::RandomWiggle,0,0,0.0,1622823178.0,814026486.0,0.0,0.0,0.0,0.0
i64,bench::s3q::S3qHeapI64,33554432,bench::workloads::HeapSort,0,0,0.0,657289591.0,831988832.0,0.0,0.0,0.0,0.0
i64,bench::s3q::S3qHeapI64,33554432,bench::workloads::MonotoneConstantSize,0,0,0.0,6947075645.0,9538791256.0,0.0,0.0,0.0,0.0
i64,bench::s3q::S3qHeapI64,33554432,bench::workloads::MonotoneWiggle,0,0,0.0,1955546370.0,2607472998.0,0.0,0.0,0.0,0.0
i64,bench::s3q::S3qHeapI64,33554432,bench::workloads::RandomWiggle,0,0,0.0,1532086754.0,1690418636.0,0.0,0.0,0.0,0.0
i64,bench::original_quickheap::OriginalQuickHeapHeapI64,33554432,bench::workloads::HeapSort,0,0,0.0,0.0,1082891799.0,0.0,0.0,0.0,0.0
i64,bench::original_quickheap::OriginalQuickHeapHeapI64,33554432,bench::workloads::MonotoneConstantSize,0,0,0.0,822981811.0,12374045830.0,0.0,0.0,0.0,0.0
i64,bench::original_quickheap::OriginalQuickHeapHeapI64,33554432,bench::workloads::MonotoneWiggle,0,0,0.0,235872348.0,3341479134.0,0.0,0.0,0.0,0.0
